original filename,scanid,digit,num,database name original,database name,filename
Scan_17_digit_1_num_3.png,17,1,3,DUISRT,training-d,d00000.png
Scan_112_digit_1_num_0.png,112,1,0,DUISRT,training-d,d00001.png
Scan_81_digit_5_num_8.png,81,5,8,DUISRT,training-d,d00002.png
Scan_5_digit_7_num_1.png,5,7,1,DUISRT,training-d,d00003.png
Scan_5_digit_0_num_6.png,5,0,6,DUISRT,training-d,d00004.png
Scan_44_digit_1_num_1.png,44,1,1,DUISRT,training-d,d00005.png
Scan_18_digit_0_num_7.png,18,0,7,DUISRT,training-d,d00006.png
Scan_61_digit_0_num_1.png,61,0,1,DUISRT,training-d,d00007.png
Scan_54_digit_3_num_2.png,54,3,2,DUISRT,training-d,d00008.png
Scan_58_digit_7_num_6.png,58,7,6,DUISRT,training-d,d00009.png
Scan_132_digit_7_num_4.png,132,7,4,DUISRT,training-d,d00010.png
Scan_101_digit_2_num_6.png,101,2,6,DUISRT,training-d,d00011.png
Scan_125_digit_0_num_5.png,125,0,5,DUISRT,training-d,d00012.png
Scan_69_digit_6_num_6.png,69,6,6,DUISRT,training-d,d00013.png
Scan_22_digit_8_num_6.png,22,8,6,DUISRT,training-d,d00014.png
Scan_102_digit_8_num_3.png,102,8,3,DUISRT,training-d,d00015.png
Scan_114_digit_3_num_0.png,114,3,0,DUISRT,training-d,d00016.png
Scan_27_digit_9_num_6.png,27,9,6,DUISRT,training-d,d00017.png
Scan_135_digit_2_num_4.png,135,2,4,DUISRT,training-d,d00018.png
Scan_129_digit_4_num_0.png,129,4,0,DUISRT,training-d,d00019.png
Scan_91_digit_8_num_8.png,91,8,8,DUISRT,training-d,d00020.png
Scan_116_digit_6_num_3.png,116,6,3,DUISRT,training-d,d00021.png
Scan_36_digit_6_num_6.png,36,6,6,DUISRT,training-d,d00022.png
Scan_128_digit_9_num_0.png,128,9,0,DUISRT,training-d,d00023.png
Scan_79_digit_4_num_1.png,79,4,1,DUISRT,training-d,d00024.png
Scan_44_digit_0_num_6.png,44,0,6,DUISRT,training-d,d00025.png
Scan_140_digit_5_num_0.png,140,5,0,DUISRT,training-d,d00026.png
Scan_128_digit_9_num_8.png,128,9,8,DUISRT,training-d,d00027.png
Scan_52_digit_5_num_6.png,52,5,6,DUISRT,training-d,d00028.png
Scan_23_digit_2_num_6.png,23,2,6,DUISRT,training-d,d00029.png
Scan_111_digit_0_num_0.png,111,0,0,DUISRT,training-d,d00030.png
Scan_94_digit_3_num_1.png,94,3,1,DUISRT,training-d,d00031.png
Scan_121_digit_0_num_1.png,121,0,1,DUISRT,training-d,d00032.png
Scan_23_digit_9_num_6.png,23,9,6,DUISRT,training-d,d00033.png
Scan_19_digit_9_num_1.png,19,9,1,DUISRT,training-d,d00034.png
Scan_113_digit_0_num_4.png,113,0,4,DUISRT,training-d,d00035.png
Scan_119_digit_3_num_0.png,119,3,0,DUISRT,training-d,d00036.png
Scan_44_digit_5_num_2.png,44,5,2,DUISRT,training-d,d00037.png
Scan_138_digit_3_num_2.png,138,3,2,DUISRT,training-d,d00038.png
Scan_4_digit_2_num_7.png,4,2,7,DUISRT,training-d,d00039.png
Scan_137_digit_8_num_1.png,137,8,1,DUISRT,training-d,d00040.png
Scan_111_digit_2_num_7.png,111,2,7,DUISRT,training-d,d00041.png
Scan_91_digit_4_num_2.png,91,4,2,DUISRT,training-d,d00042.png
Scan_104_digit_0_num_7.png,104,0,7,DUISRT,training-d,d00043.png
Scan_73_digit_6_num_5.png,73,6,5,DUISRT,training-d,d00044.png
