filename,original filename,districtid,institutionid,gender,age,datestamp,scanid,digit,database name original,database name
e00000.png,02_0002_1_20_1016_1248_60.png,2,2,1,20,1016,1248,9,BanglaLekha-Isolated,training-e
e00001.png,02_0002_0_19_1016_1183_60.png,2,2,0,19,1016,1183,9,BanglaLekha-Isolated,training-e
e00002.png,01_0001_0_16_0916_0464_51.png,1,1,0,16,916,464,0,BanglaLekha-Isolated,training-e
e00003.png,02_0002_0_24_1016_1464_55.png,2,2,0,24,1016,1464,4,BanglaLekha-Isolated,training-e
e00004.png,02_0002_0_18_1016_1718_56.png,2,2,0,18,1016,1718,5,BanglaLekha-Isolated,training-e
e00005.png,01_0001_0_16_0916_0143_57.png,1,1,0,16,916,143,6,BanglaLekha-Isolated,training-e
e00006.png,02_0002_1_20_1016_0845_54.png,2,2,1,20,1016,845,3,BanglaLekha-Isolated,training-e
e00007.png,02_0002_0_22_1016_1724_51.png,2,2,0,22,1016,1724,0,BanglaLekha-Isolated,training-e
e00008.png,02_0002_0_20_1016_0778_55.png,2,2,0,20,1016,778,4,BanglaLekha-Isolated,training-e
e00009.png,01_0001_0_16_0916_0239_54.png,1,1,0,16,916,239,3,BanglaLekha-Isolated,training-e
e00010.png,01_0001_0_16_0916_0131_51.png,1,1,0,16,916,131,0,BanglaLekha-Isolated,training-e
e00011.png,01_0001_0_17_0916_0269_53.png,1,1,0,17,916,269,2,BanglaLekha-Isolated,training-e
e00012.png,01_0001_0_15_0916_0202_53.png,1,1,0,15,916,202,2,BanglaLekha-Isolated,training-e
e00013.png,01_0001_1_16_0916_0072_57.png,1,1,1,16,916,72,6,BanglaLekha-Isolated,training-e
e00014.png,02_0002_0_21_1016_1509_54.png,2,2,0,21,1016,1509,3,BanglaLekha-Isolated,training-e
e00015.png,02_0002_0_18_1016_1188_58.png,2,2,0,18,1016,1188,7,BanglaLekha-Isolated,training-e
e00016.png,01_0001_0_15_0916_0445_57.png,1,1,0,15,916,445,6,BanglaLekha-Isolated,training-e
e00017.png,02_0002_1_22_1016_0634_54.png,2,2,1,22,1016,634,3,BanglaLekha-Isolated,training-e
e00018.png,01_0001_0_15_0916_0428_60.png,1,1,0,15,916,428,9,BanglaLekha-Isolated,training-e
e00019.png,01_0001_1_17_0916_0361_52.png,1,1,1,17,916,361,1,BanglaLekha-Isolated,training-e
e00020.png,01_0001_0_17_0916_0318_53.png,1,1,0,17,916,318,2,BanglaLekha-Isolated,training-e
e00021.png,02_0002_1_22_1016_1238_51.png,2,2,1,22,1016,1238,0,BanglaLekha-Isolated,training-e
e00022.png,01_0001_0_16_0916_0597_53.png,1,1,0,16,916,597,2,BanglaLekha-Isolated,training-e
e00023.png,02_0002_0_15_1016_1648_60.png,2,2,0,15,1016,1648,9,BanglaLekha-Isolated,training-e
e00024.png,02_0002_0_24_1016_1544_58.png,2,2,0,24,1016,1544,7,BanglaLekha-Isolated,training-e
e00025.png,01_0001_0_17_0916_0114_56.png,1,1,0,17,916,114,5,BanglaLekha-Isolated,training-e
e00026.png,02_0002_0_21_1016_0996_54.png,2,2,0,21,1016,996,3,BanglaLekha-Isolated,training-e
e00027.png,01_0001_1_17_0916_1866_51.png,1,1,1,17,916,1866,0,BanglaLekha-Isolated,training-e
e00028.png,02_0002_0_21_1016_1615_58.png,2,2,0,21,1016,1615,7,BanglaLekha-Isolated,training-e
e00029.png,02_0002_1_21_1016_1552_51.png,2,2,1,21,1016,1552,0,BanglaLekha-Isolated,training-e
e00030.png,01_0001_1_17_0916_0277_60.png,1,1,1,17,916,277,9,BanglaLekha-Isolated,training-e
e00031.png,02_0002_0_19_1016_1445_58.png,2,2,0,19,1016,1445,7,BanglaLekha-Isolated,training-e
e00032.png,02_0002_0_21_1016_1057_55.png,2,2,0,21,1016,1057,4,BanglaLekha-Isolated,training-e
e00033.png,01_0001_1_16_0916_0590_56.png,1,1,1,16,916,590,5,BanglaLekha-Isolated,training-e
e00034.png,01_0001_1_17_0916_0058_57.png,1,1,1,17,916,58,6,BanglaLekha-Isolated,training-e
e00035.png,01_0001_0_13_0916_1911_53.png,1,1,0,13,916,1911,2,BanglaLekha-Isolated,training-e
e00036.png,02_0002_1_09_1016_1656_52.png,2,2,1,9,1016,1656,1,BanglaLekha-Isolated,training-e
e00037.png,02_0002_0_19_1016_1315_55.png,2,2,0,19,1016,1315,4,BanglaLekha-Isolated,training-e
e00038.png,02_0002_1_22_1016_0631_56.png,2,2,1,22,1016,631,5,BanglaLekha-Isolated,training-e
e00039.png,02_0002_1_18_1016_1008_55.png,2,2,1,18,1016,1008,4,BanglaLekha-Isolated,training-e
e00040.png,02_0002_0_18_1016_1717_53.png,2,2,0,18,1016,1717,2,BanglaLekha-Isolated,training-e
e00041.png,02_0002_1_19_1016_1515_54.png,2,2,1,19,1016,1515,3,BanglaLekha-Isolated,training-e
e00042.png,02_0002_0_21_1016_1421_58.png,2,2,0,21,1016,1421,7,BanglaLekha-Isolated,training-e
e00043.png,02_0002_1_14_1016_1783_52.png,2,2,1,14,1016,1783,1,BanglaLekha-Isolated,training-e
e00044.png,02_0002_0_21_1016_1616_59.png,2,2,0,21,1016,1616,8,BanglaLekha-Isolated,training-e
e00045.png,02_0002_0_19_1016_1225_51.png,2,2,0,19,1016,1225,0,BanglaLekha-Isolated,training-e
e00046.png,02_0002_0_21_1016_1400_53.png,2,2,0,21,1016,1400,2,BanglaLekha-Isolated,training-e
e00047.png,01_0001_0_17_0916_0527_55.png,1,1,0,17,916,527,4,BanglaLekha-Isolated,training-e
e00048.png,02_0002_0_20_1016_0785_51.png,2,2,0,20,1016,785,0,BanglaLekha-Isolated,training-e
e00049.png,02_0002_1_14_1016_1697_53.png,2,2,1,14,1016,1697,2,BanglaLekha-Isolated,training-e
e00050.png,02_0002_0_18_1016_1612_59.png,2,2,0,18,1016,1612,8,BanglaLekha-Isolated,training-e
e00051.png,02_0002_1_20_1016_0745_58.png,2,2,1,20,1016,745,7,BanglaLekha-Isolated,training-e
e00052.png,02_0002_1_19_1016_1428_53.png,2,2,1,19,1016,1428,2,BanglaLekha-Isolated,training-e
e00053.png,02_0002_0_20_1016_0778_57.png,2,2,0,20,1016,778,6,BanglaLekha-Isolated,training-e
e00054.png,02_0002_0_19_1016_0814_57.png,2,2,0,19,1016,814,6,BanglaLekha-Isolated,training-e
e00055.png,01_0001_0_16_0916_0575_52.png,1,1,0,16,916,575,1,BanglaLekha-Isolated,training-e
e00056.png,02_0002_1_19_1016_1220_59.png,2,2,1,19,1016,1220,8,BanglaLekha-Isolated,training-e
e00057.png,02_0002_1_23_1016_1842_58.png,2,2,1,23,1016,1842,7,BanglaLekha-Isolated,training-e
e00058.png,02_0002_1_25_1016_0991_58.png,2,2,1,25,1016,991,7,BanglaLekha-Isolated,training-e
e00059.png,02_0002_1_26_1016_1082_52.png,2,2,1,26,1016,1082,1,BanglaLekha-Isolated,training-e
e00060.png,02_0002_0_19_1016_0818_55.png,2,2,0,19,1016,818,4,BanglaLekha-Isolated,training-e
e00061.png,02_0002_0_19_1016_1283_51.png,2,2,0,19,1016,1283,0,BanglaLekha-Isolated,training-e
e00062.png,02_0002_0_18_1016_1741_56.png,2,2,0,18,1016,1741,5,BanglaLekha-Isolated,training-e
e00063.png,02_0002_1_19_1016_0735_59.png,2,2,1,19,1016,735,8,BanglaLekha-Isolated,training-e
e00064.png,02_0002_0_19_1016_1272_51.png,2,2,0,19,1016,1272,0,BanglaLekha-Isolated,training-e
e00065.png,02_0002_0_22_1016_1117_54.png,2,2,0,22,1016,1117,3,BanglaLekha-Isolated,training-e
e00066.png,02_0002_0_18_1016_1020_56.png,2,2,0,18,1016,1020,5,BanglaLekha-Isolated,training-e
e00067.png,01_0001_1_13_0916_1876_57.png,1,1,1,13,916,1876,6,BanglaLekha-Isolated,training-e
e00068.png,02_0002_1_19_1016_1160_51.png,2,2,1,19,1016,1160,0,BanglaLekha-Isolated,training-e
